gene,TSS,end,start,UTR_length,utr_counts,sample
dut,7627704,7627864,7627704,160,2000,utRho09
dxr,386670,387042,386670,372,1114,utRho09
ebgA,6445102,6445266,6445102,164,92,utRho09
ebgR,6442874,6442932,6442874,58,116,utRho09
ecnB,8753018,8753106,8753018,88,142,utRho09
eco,4607594,4607810,4607594,216,12,utRho09
ecpA,621594,621594,621342,252,0,utRho09
ecpB,620238,620238,620052,186,18,utRho09
ecpR,622964,622964,622672,292,0,utRho09
eda,3866218,3866218,3865512,706,20,utRho09
edd,3869426,3869426,3869208,218,0,utRho09
efeO,2164308,2164486,2164308,178,0,utRho09
efeU_1,2162614,2162712,2162614,98,2,utRho09
efp,8751134,8751398,8751134,264,2604,utRho09
elaA,4763372,4763372,4763086,286,108,utRho09
elaD,4765308,4765426,4765308,118,0,utRho09
elfA,1995530,1995736,1995530,206,0,utRho09
elfD,1996642,1996980,1996642,338,44,utRho09
emrD,7707690,7707844,7707690,154,20,utRho09
emrK,4966896,4966896,4966678,218,0,utRho09
emrY,4964668,4964668,4964352,316,48,utRho09
emtA,2486250,2486360,2486250,110,0,utRho09
endA,12361100,12361388,12361100,288,4,utRho09
eno,5817692,5817692,5815882,1810,4744,utRho09
entC,1249662,1249770,1249662,108,0,utRho09
entD,1220508,1220508,1220158,350,4,utRho09
entH,1258584,1258600,1258584,16,22,utRho09
entS,1244506,1244600,1244506,94,0,utRho09
envR,6827266,6827266,6826930,336,0,utRho09
epd,12295292,12295292,12294764,528,0,utRho09
epmA,8765236,8765286,8765236,50,0,utRho09
epmB,8751406,8751406,8751314,92,1386,utRho09
eptB,7421162,7421162,7420950,212,120,utRho09
eptC,8300622,8300622,8300530,92,196,utRho09
erfK,4126708,4126708,4126646,62,82,utRho09
erpA,353122,353220,353122,98,60,utRho09
esrE,8039956,8039956,8039956,0,0,utRho09
essD,1153746,1154796,1153746,1050,34,utRho09
etk,2088606,2088606,2088420,186,0,utRho09
evgA,4967262,4967510,4967262,248,106,utRho09
exbB,6304028,6304028,6303968,60,2,utRho09
exbD,6302780,6302780,6302486,294,40,utRho09
exuR,6493016,6493304,6493016,288,142,utRho09
exuT,6490004,6490208,6490004,204,0,utRho09
fabA,2032996,2032996,2032940,56,240,utRho09
fabB,4883282,4883282,4883210,72,30,utRho09
fabH,2297032,2297518,2297032,486,2368,utRho09
fabI,2702236,2702236,2702078,158,190,utRho09
fadB,8062026,8062026,8061942,84,0,utRho09
fadD,3779614,3779614,3779492,122,44,utRho09
fadE,486812,486812,486606,206,0,utRho09
fadH,6463248,6463330,6463248,82,0,utRho09
fadI,4921022,4921022,4920938,84,6,utRho09
fadL,4922410,4922600,4922410,190,124,utRho09
fadM,928720,928804,928720,84,0,utRho09
fadR,2469810,2469876,2469810,66,0,utRho09
fbaB,4357334,4357334,4357128,206,0,utRho09
fdhE,8162722,8162722,8162456,266,1756,utRho09
fdhF,8598814,8598814,8598732,82,0,utRho09
fdnG,3094744,3094802,3094744,58,0,utRho09
fdrA,1093012,1093360,1093012,348,0,utRho09
feaB,2894994,2895038,2894994,44,0,utRho09
feaR,2894734,2894734,2894566,168,0,utRho09
fecA,9033454,9033454,9033354,100,8,utRho09
fecE,9023288,9023288,9022914,374,4550,utRho09
fecI,9036564,9036564,9036470,94,2,utRho09
feoA,7080114,7080326,7080114,212,6,utRho09
fepA,1225334,1225334,1224988,346,0,utRho09
fepB,1249454,1249454,1249020,434,0,utRho09
fepD,1244468,1244468,1244378,90,0,utRho09
fes,1225374,1225630,1225374,256,42,utRho09
ffh,5495706,5495706,5495590,116,938,utRho09
ffs,952576,952848,952576,272,8,utRho09
fhuA,334884,334968,334884,84,40,utRho09
fhuE,2323294,2323294,2323102,192,4,utRho09
fhuF,9211504,9211504,9211326,178,212,utRho09
fic,6983296,6983296,6982926,370,656,utRho09
fieF,8212864,8212938,8212864,74,2,utRho09
fimA,9085388,9086230,9085388,842,168,utRho09
fimB,9081334,9081914,9081334,580,470,utRho09
fimE,9083742,9084074,9083742,332,6,utRho09
fimZ,1129214,1129214,1128960,254,2,utRho09
fiu,1683296,1683296,1683062,234,2,utRho09
fixA,84650,84806,84650,156,0,utRho09
fkpA,6955050,6955050,6954838,212,12500,utRho09
fldA,2846084,2846084,2845860,224,3592,utRho09
fldB,6079644,6079710,6079644,66,116,utRho09
flgA,2261770,2261770,2261726,44,2,utRho09
flgB,2261986,2262036,2261986,50,30,utRho09
flgK,2276702,2276756,2276702,54,870,utRho09
flgM,2260330,2260330,2260256,74,480,utRho09
flgN,2259828,2259828,2259660,168,78,utRho09
flhB,3932432,3932432,3932382,50,538,utRho09
flhC,3955864,3955864,3955688,176,66,utRho09
flhD,3957154,3957154,3956394,760,144,utRho09
fliA,4003638,4003638,4003578,60,122,utRho09
fliC,4007352,4007352,4007212,140,1508,utRho09
fliD,4007634,4007744,4007634,110,352,utRho09
fliE,4026186,4026186,4026028,158,0,utRho09
fliF,4026292,4026458,4026292,166,372,utRho09
fliL,4039168,4039236,4039168,68,160,utRho09
flk,4875824,4875900,4875824,76,0,utRho09
flu,4142634,4143078,4142634,444,2,utRho09
flxA,3292776,3292810,3292776,34,58,utRho09
fnr,2799104,2799104,2799052,52,68,utRho09
fnrS,2818258,2818258,2818258,0,0,utRho09
focA,1909628,1909628,1908932,696,442,utRho09
folA,99598,99646,99598,48,0,utRho09
folB,6409296,6409296,6409178,118,12,utRho09
folD,1115562,1115562,1115482,80,242,utRho09
folE,4487696,4487696,4487304,392,3262,utRho09
fpr,8228998,8228998,8228944,54,4,utRho09
frc,4986878,4986878,4986508,370,4,utRho09
frdA,8764824,8764824,8764636,188,180,utRho09
frdD,8758948,8758948,8758732,216,818,utRho09
fre,8052886,8053054,8052886,168,1564,utRho09
frlA,6999518,6999820,6999518,302,4,utRho09
frr,385624,385744,385624,120,1570,utRho09
frsA,513004,513054,513004,50,98,utRho09
fruB,4527194,4527194,4526990,204,4,utRho09
frvR,8179804,8179804,8179710,94,0,utRho09
fryA,5008986,5008986,5008970,16,2,utRho09
fsaA,1727060,1727284,1727060,224,2,utRho09
fsr,1009710,1009710,1009392,318,32,utRho09
ftnA,3977364,3977432,3977364,68,14,utRho09
ftnB,3973550,3973850,3973550,300,124,utRho09
ftsA,207122,207964,207122,842,1188,utRho09
ftsB,5745802,5745802,5745640,162,48,utRho09
ftsH,6654204,6654204,6653870,334,588,utRho09
ftsK,1865858,1866448,1865858,590,2338,utRho09
ftsL,181376,182064,181376,688,2340,utRho09
ftsP,6325732,6325732,6325338,394,414,utRho09
ftsQ,205484,206310,205484,826,524,utRho09
ftsX,7204512,7204512,7204172,340,342,utRho09
ftsZ,209272,210610,209272,1338,98,utRho09
fucA,5867708,5867708,5867376,332,24,utRho09
fucP,5868238,5868470,5868238,232,4,utRho09
fumA,6753760,6753760,6753508,252,4720,utRho09
fumB,8694696,8694696,8694652,44,0,utRho09
fumC,3373418,3373418,3373176,242,0,utRho09
fur,2842892,2842892,2842584,308,7876,utRho09
fusA,6947370,6947370,6947028,342,40118,utRho09
fxsA,8737206,8737328,8737206,122,42,utRho09
gabD,5581824,5582546,5581824,722,820,utRho09
gadA,7335214,7335214,7335160,54,0,utRho09
gadB,3144144,3144144,3144090,54,0,utRho09
gadC,3141168,3141168,3140978,190,4,utRho09
gadE,7315600,7316732,7315600,1132,2,utRho09
gadW,7329562,7329562,7329236,326,2,utRho09
gadX,14663356,14663356,14663240,116,0,utRho09
gadY,7329728,7329728,7329728,0,0,utRho09
galE,1584354,1584354,1584110,244,2,utRho09
galF,4228702,4228702,4228654,48,2,utRho09
galM,1577796,1577796,1577674,122,614,utRho09
galP,6176510,6176568,6176510,58,4,utRho09
galR,5953138,5953198,5953138,60,108,utRho09
galS,4483420,4483420,4483336,84,0,utRho09
galU,2582810,2582914,2582810,104,444,utRho09
gapA,3724480,3725542,3724480,1062,6048,utRho09
garP,6549868,6549868,6549814,54,82,utRho09
gatY,4354468,4354468,4354408,60,38,utRho09
gatZ,4352864,4352864,4352642,222,16972,utRho09
gcd,282558,282558,282450,108,0,utRho09
gcl,1067814,1067832,1067814,18,0,utRho09
gcvA,5885278,5885278,5885134,144,0,utRho09
gcvB,5885392,5885392,5885392,0,0,utRho09
gcvR,5199758,5199812,5199758,54,36,utRho09
gcvT,6101544,6101544,6101334,210,1488,utRho09
gdhA,3684616,3684742,3684616,126,0,utRho09
gfcA,2099668,2099668,2099488,180,20,utRho09
gfcD,2096236,2096236,2095890,346,34,utRho09
ghrA,2195648,2195772,2195648,124,2,utRho09
ghrB,7434378,7434620,7434378,242,456,utRho09
glcA,6242728,6242728,6242558,170,118,utRho09
glcC,6256412,6256544,6256412,132,2,utRho09
glcD,6256152,6256152,6256042,110,0,utRho09
gldA,8278092,8278092,8278070,22,10,utRho09
glgA,7136784,7136784,7136066,718,302,utRho09
glgB,7147314,7147314,7147004,310,112,utRho09
glgC,7139142,7139142,7138656,486,706,utRho09
glgP,7133546,7133546,7133162,384,6,utRho09
glgS,6384024,6384024,6383878,146,4,utRho09
glgX,7142838,7142838,7142638,200,0,utRho09
glk,5018922,5018922,5018852,70,18,utRho09
glmS,7827622,7827622,7827336,286,6924,utRho09
glmU,7830652,7830652,7830400,252,106,utRho09
glmY,10765360,10765360,10765360,0,0,utRho09
glmZ,7972864,7972864,7972864,0,0,utRho09
glnA,16232888,16232888,16232136,752,1156,utRho09
glnB,5375052,5375052,5374816,236,246,utRho09
glnD,377310,377310,377300,10,2,utRho09
glnE,6399602,6399602,6399282,320,60,utRho09
glnH,1696396,1696396,1696008,388,14,utRho09
glnK,945112,945196,945112,84,4,utRho09
glnL,8112742,8112742,8112678,64,0,utRho09
glnQ,1693262,1693262,1692926,336,558,utRho09
glnS,1411998,1412186,1411998,188,1022,utRho09
gloA,3455602,3455674,3455602,72,72,utRho09
gloB,469852,469852,469564,288,514,utRho09
glpA,4705166,4705294,4705166,128,0,utRho09
glpD,7123942,7124026,7123942,84,32,utRho09
glpE,7123698,7123698,7123646,52,40,utRho09
glpF,8236322,8236322,8236180,142,254,utRho09
glpG,7122960,7122960,7122904,56,344,utRho09
glpR,7121782,7121782,7121210,572,196,utRho09
glpT,4704902,4704902,4704748,154,164,utRho09
glpX,8231212,8231212,8231158,54,3776,utRho09
glrK,5382246,5382246,5382196,50,132,utRho09
gltA,1509534,1509534,1508936,598,12986,utRho09
gltB,6709018,6709264,6709018,246,48,utRho09
gltI,1375792,1375792,1375494,298,2042,utRho09
gltP,8588536,8588962,8588536,426,808,utRho09
gltS,7657382,7657382,7657330,52,418,utRho09
gltX,5041568,5041568,5041344,224,114,utRho09
gluQ,320286,320286,320224,62,100,utRho09
glyA,5371148,5371148,5371014,134,192,utRho09
glyQ,7450708,7450708,7450636,72,200,utRho09
glyS,7448990,7448990,7448794,196,5264,utRho09
glyU,5998128,5998128,5998114,14,38,utRho09
glyV,8784626,8784720,8784626,94,44,utRho09
glyW,3984360,3984360,3984234,126,0,utRho09
gmhB,445612,445666,445612,54,0,utRho09
gmk,7642776,7642856,7642776,80,36,utRho09
gmr,2693686,2693686,2693484,202,52,utRho09
gnd,4202648,4202648,4202536,112,856,utRho09
gnsB,3275692,3275692,3275564,128,0,utRho09
gntK,14310580,14310580,14310368,212,148,utRho09
gntP,9102668,9102668,9102592,76,4,utRho09
gntR,7157760,7157760,7157452,308,540,utRho09
gntT,7092810,7093118,7092810,308,106,utRho09
gntU,7154170,7154170,7154122,48,2,utRho09
gntX,7089334,7089764,7089334,430,0,utRho09
gor,7292224,7292598,7292224,374,1308,utRho09
gpmA,1575340,1575340,1575190,150,0,utRho09
gpmM,7570374,7570520,7570374,146,0,utRho09
gpsA,7567620,7567620,7567322,298,17134,utRho09
gpt,511828,511954,511828,126,1496,utRho09
grcA,5433046,5433046,5432898,148,2,utRho09
greA,6657728,6657728,6657430,298,2314,utRho09
greB,7073488,7073624,7073488,136,0,utRho09
groL,8741566,8742050,8741566,484,1758,utRho09
groS,8741232,8741376,8741232,144,1594,utRho09
grpE,5501494,5501494,5501416,78,128,utRho09
grxA,1781552,1781552,1781506,46,0,utRho09
grxB,2248206,2248206,2248108,98,80,utRho09
grxC,7569152,7569152,7568884,268,10296,utRho09
grxD,3468324,3468324,3468202,122,17370,utRho09
gspA,6911268,6911268,6910796,472,2,utRho09
gspC,6910964,6911156,6910964,192,0,utRho09
gss,6277220,6277220,6277044,176,104,utRho09
gstA,3428654,3428754,3428654,100,0,utRho09
gstB,1761038,1761038,1760960,78,0,utRho09
guaB,5268214,5268214,5268140,74,348,utRho09
gudD,5839026,5839026,5838770,256,2,utRho09
gyrA,4678914,4678914,4678840,74,60,utRho09
gyrB,7760300,7760300,7760238,62,236,utRho09
hcaE,5337964,5338064,5337964,100,8,utRho09
hcaR,5337928,5337928,5337792,136,2,utRho09
hcaT,5336106,5336106,5335692,414,36,utRho09
hchA,4071260,4071670,4071260,410,0,utRho09
hcp,1828258,1828258,1827628,630,64,utRho09
hcr,1824400,1824400,1824300,100,0,utRho09
hdeA,7313582,7313582,7313480,102,0,utRho09
hdeD,7313920,7313990,7313920,70,12,utRho09
hdfR,7896320,7896320,7895934,386,2,utRho09
hdhA,3396244,3396244,3396080,164,14,utRho09
helD,2048876,2048942,2048876,66,0,utRho09
hemA,2527166,2527428,2527166,262,64,utRho09
hemB,779722,779722,779454,268,6,utRho09
hemF,5106410,5106450,5106410,40,22,utRho09
hemH,996062,996110,996062,48,2,utRho09
hemL,349882,349882,349764,118,84,utRho09
hemN,8103886,8104090,8103886,204,2,utRho09
hepA,127176,127176,126528,648,1380,utRho09
hflD,2385372,2385372,2385262,110,568,utRho09
hfq,8799602,8800576,8799602,974,2926,utRho09
hha,961006,961006,960616,390,144,utRho09
hicA,3018442,3018572,3018442,130,0,utRho09
higA,6468682,6468682,6468288,394,106,utRho09
higB,6468960,6468960,6468910,50,4,utRho09
hinT,2323642,2323770,2323642,128,0,utRho09
hipB,3184964,3184964,3184884,80,0,utRho09
hisB,4186720,4186936,4186720,216,854,utRho09
hisJ,4853674,4853674,4853576,98,14,utRho09
hisL,8359856,8359984,8359856,128,220,utRho09
hisS,5281284,5281284,5281150,134,430,utRho09
hlpA,400910,400964,400910,54,28,utRho09
hlyE,2460932,2460932,2460788,144,2,utRho09
hmp,5371594,5371670,5371594,76,0,utRho09
hns,2585916,2585916,2585844,72,2274,utRho09
hofM,7045856,7045856,7045502,354,6,utRho09
hokA,7441620,7441620,7441200,420,248,utRho09
hokC,33902,33902,33806,96,302,utRho09
hokE,1215462,1215672,1215462,210,0,utRho09
holC,8968546,8968546,8968560,14,816,utRho09
holD,9215562,9215606,9215562,44,2,utRho09
holE,3850040,3850216,3850040,176,280,utRho09
hpt,282720,282862,282720,142,120,utRho09
hrpB,324150,324210,324150,60,20,utRho09
hscB,5319048,5319048,5318934,114,1428,utRho09
hscC,1367188,1367188,1366786,402,516,utRho09
hsdS,9163004,9163004,9162924,80,16,utRho09
hslJ,2883560,2883560,2883486,74,124,utRho09
hslO,7059344,7059548,7059344,204,9224,utRho09
hslR,7058220,7058696,7058220,476,834,utRho09
hslV,8244708,8244708,8244574,134,42,utRho09
hsrA,7881412,7881412,7881224,188,24,utRho09
htgA,21286,21660,21286,374,82,utRho09
htpG,989634,990240,989634,606,5454,utRho09
htpX,3825236,3825236,3825152,84,0,utRho09
htrE,311036,311036,310852,184,4,utRho09
htrL,7587668,7587668,7587366,302,26,utRho09
hupA,8400352,8400562,8400352,210,42,utRho09
hupB,1845220,1845804,1845220,584,540,utRho09
hyaA,2063968,2064278,2063968,310,0,utRho09
hybO,6292726,6292726,6292522,204,526,utRho09
hycA,5700922,5700922,5700870,52,0,utRho09
hycI,5686204,5686204,5686086,118,14,utRho09
hydN,5676264,5676264,5676210,54,2,utRho09
hyfA,5202342,5202402,5202342,60,0,utRho09
hypA,11402508,11402588,11402508,80,8,utRho09
hypB,11403356,11404004,11403356,648,228,utRho09
hypF,5676210,5676210,5674850,1360,540,utRho09
hypT,9116634,9116634,9116578,56,0,utRho09
hyuA,6019660,6020056,6019660,396,0,utRho09
iaaA,1733074,1733136,1733074,62,0,utRho09
iadA,9119074,9119074,9119052,22,48,utRho09
iap,5753072,5753162,5753072,90,0,utRho09
ibaG,6673966,6673966,6673606,360,194,utRho09
ibpA,7735036,7735036,7734844,192,52,utRho09
ibpB,7733962,7733962,7733794,168,830,utRho09
icd,2389922,2390246,2389922,324,438,utRho09
iclR,8447304,8447304,8447256,48,0,utRho09
idi,6065876,6066130,6065876,254,0,utRho09
idnD,8988870,8988870,8988812,58,0,utRho09
idnK,8989194,8989246,8989194,52,2,utRho09
ihfA,3591442,3591442,3591104,338,864,utRho09
ihfB,1927498,1927656,1927498,158,1226,utRho09
ileS,43666,44782,43666,1116,5710,utRho09
ileX,6431194,6431196,6431194,2,0,utRho09
ilvA,15820940,15821324,15820940,384,228,utRho09
ilvC,7915824,7915940,7915824,116,0,utRho09
ilvE,15809552,15809936,15809552,384,152,utRho09
ilvI,170840,171260,170840,420,0,utRho09
ilvL,23701308,23701932,23701308,624,6,utRho09
ilvY,7915734,7915734,7915640,94,0,utRho09
inaA,4698998,4698998,4698944,54,0,utRho09
infA,1853370,1853370,1852886,484,2374,utRho09
infC,3602692,3602692,3601276,1416,6976,utRho09
insA-5,3958452,3958452,3958430,22,10,utRho09
insA-7,9036758,9037054,9036758,296,158,utRho09
insC-5,6372080,6372284,6372080,204,180,utRho09
insEF-2,785238,785238,785820,582,140,utRho09
insEF-4,2190310,2190310,2190892,582,132,utRho09
insG,9007098,9007098,9006862,236,22,utRho09
insH-1,550596,550596,550234,362,54,utRho09
insH-11,7306538,7306538,7306396,142,26,utRho09
insH-2,1151548,1151548,1151506,42,28,utRho09
insH-3,1378444,1378444,1378026,418,58,utRho09
insH-4,2791942,2792152,2791942,210,54,utRho09
insH-5,2857852,2857852,2857452,400,0,utRho09
insH-6,4135022,4135022,4134642,380,4,utRho09
insH-7,4206186,4206186,4205822,364,7450,utRho09
insH-9,6260050,6260356,6260050,306,46,utRho09
insI-3,9017372,9017372,9017234,138,6,utRho09
insJ,7441188,7441360,7441188,172,82,utRho09
insK,7442130,7442308,7442130,178,0,utRho09
insL-1,30760,30890,30760,130,504,utRho09
insL-2,1216112,1216130,1216112,18,28,utRho09
insL-3,5028644,5028662,5028644,18,32,utRho09
insN-1,540452,540484,540452,32,0,utRho09
intD,1132202,1132202,1131956,246,20,utRho09
intR,2826520,2826520,2826470,50,0,utRho09
intS,4933026,4933090,4933026,64,18,utRho09
intZ,5117386,5117542,5117386,156,8,utRho09
iraD,9113152,9113986,9113152,834,0,utRho09
iraM,2424246,2424246,2424006,240,0,utRho09
iraP,802638,802772,802638,134,0,utRho09
iscA,5319924,5319924,5319772,152,2680,utRho09
iscR,5324398,5324398,5324262,136,14748,utRho09
iscX,5313834,5313834,5313472,362,3892,utRho09
ispF,5743968,5743968,5743560,408,1532,utRho09
ispG,5283908,5283908,5283608,300,1228,utRho09
ispU,389568,389806,389568,238,228,utRho09
isrA,2811502,2811502,2811618,116,54,utRho09
istr-1,7706384,7706384,7706384,0,0,utRho09
istr-2,7706514,7706514,7706514,0,0,utRho09
ivbL,15412092,15412092,15411952,140,888,utRho09
ivy,480638,480686,480638,48,0,utRho09
katE,3627628,3627734,3627628,106,20,utRho09
katG,8267624,8267670,8267624,46,2,utRho09
kbaZ,6557732,6557828,6557732,96,0,utRho09
kbl,7585154,7585154,7585102,52,606,utRho09
kch,2621046,2621046,2620538,508,0,utRho09
kdgR,3820506,3820506,3820198,308,0,utRho09
kdpE,1443788,1443788,1443466,322,26,utRho09
kdpF,1457698,1457698,1457642,56,0,utRho09
kdsA,2535708,2536330,2535708,622,2570,utRho09
kdsC,6683438,6684546,6683438,1108,3076,utRho09
kduI,5968388,5968388,5968248,140,388,utRho09
kefF,94160,94492,94160,332,6,utRho09
kgtP,5451624,5451624,5451492,132,10,utRho09
kup,7862206,7862632,7862206,426,76,utRho09
lacI,735076,735076,735020,56,2,utRho09
lacZ,1465508,1465508,1465220,288,236,utRho09
ldcA,2486394,2486394,2486160,234,0,utRho09
ldhA,2885830,2885830,2885686,144,6,utRho09
ldrA,2538954,2538954,2538550,404,450,utRho09
ldrB,2540024,2540024,2539620,404,70,utRho09
ldrC,2541092,2541092,2540690,402,440,utRho09
ldrD,7400544,7400544,7400174,370,80,utRho09
lepA,5414392,5414392,5414248,144,242,utRho09
lepB,5410928,5410928,5410618,310,822,utRho09
leuD,159188,159188,158906,282,100,utRho09
leuE,3761600,3761600,3761518,82,2,utRho09
leuL,168048,168048,167416,632,4,utRho09
leuO,168308,168736,168308,428,8,utRho09
leuQ,9212864,9212864,9212802,62,2,utRho09
leuU,6644556,6644556,6644316,240,2524,utRho09
leuV,9212546,9212546,9212330,216,1180,utRho09
leuX,8992772,8992810,8992772,38,2,utRho09
lexA,8514174,8514230,8514174,56,36,utRho09
lhr,3456706,3458174,3456706,1468,2120,utRho09
ligA,5060402,5060402,5060352,50,0,utRho09
ligB,7642576,7642576,7642340,236,2,utRho09
lipA,1320602,1320602,1320432,170,74,utRho09
lipB,1324802,1324802,1324556,246,1378,utRho09
lit,2397032,2397390,2397032,358,66,utRho09
livJ,7199524,7199524,7199316,208,20,utRho09
livK,7195510,7195510,7195120,390,8,utRho09
lldP,7554578,7554798,7554578,220,4494,utRho09
lnt,1381968,1381968,1381762,206,484,utRho09
loiP,6163784,6163826,6163784,42,0,utRho09
lolA,1874656,1874738,1874656,82,334,utRho09
lolB,2527112,2527112,2527000,112,50,utRho09
lolC,2350748,2350854,2350748,106,0,utRho09
lon,917630,917776,917630,146,764,utRho09
lpcA,486936,487086,486936,150,0,utRho09
lpd,255434,255824,255434,390,2644,utRho09
lplA,9248476,9248476,9248234,242,1512,utRho09
lplT,5947878,5947878,5947724,154,0,utRho09
lpoA,6586422,6586800,6586422,378,320,utRho09
lpp,3514592,3514842,3514592,250,132,utRho09
lptA,6686598,6686760,6686598,162,986,utRho09
lptB,6686792,6687888,6686792,1096,1868,utRho09
lptD,114672,114672,114218,454,4542,utRho09
lptF,8972244,8972436,8972244,192,80,utRho09
lpxC,213016,213114,213016,98,11142,utRho09
lpxD,401920,401942,401920,22,38,utRho09
lpxL,2233418,2233418,2233164,254,118,utRho09
lpxM,3880456,3880456,3880386,70,46,utRho09
lpxP,4991156,4991290,4991156,134,146,utRho09
lrhA,4813312,4813312,4813282,30,20,utRho09
lrp,1864656,1865190,1864656,534,1000,utRho09
lspA,50028,50414,50028,386,932,utRho09
lsrA,3202920,3202980,3202920,60,0,utRho09
lsrR,3202514,3202514,3202482,32,0,utRho09
ltaE,1818640,1818640,1818588,52,12,utRho09
luxS,5630130,5630130,5629466,664,1828,utRho09
lysA,5957902,5957902,5957798,104,2,utRho09
lysC,8467232,8467232,8466466,766,208,utRho09
lysP,4497120,4497120,4497064,56,20,utRho09
lysR,5957900,5958042,5957900,142,0,utRho09
lysT,1561028,1561108,1561028,80,272,utRho09
lysU,8709610,8709610,8709434,176,0,utRho09
macB,1840188,1840694,1840188,506,224,utRho09
maeA,3111484,3111484,3111338,146,3874,utRho09
mak,820236,820288,820236,52,10,utRho09
malE,8492928,8492928,8492838,90,0,utRho09
malI,3398456,3398456,3398360,96,0,utRho09
malK,8493472,8493568,8493472,96,0,utRho09
malP,7105020,7105020,7104946,74,264,utRho09
malQ,7100798,7100798,7100140,658,144,utRho09
malS,14949880,14949988,14949880,108,0,utRho09
malT,7106048,7106170,7106048,122,108,utRho09
malX,3398626,3398710,3398626,84,0,utRho09
malZ,1689980,1690072,1689980,92,704,utRho09
manA,3377102,3377152,3377102,50,0,utRho09
manX,3803866,3804096,3803866,230,72,utRho09
marC,3237882,3237882,3237816,66,44,utRho09
marR,3238186,3238240,3238186,54,0,utRho09
matP,2036918,2036970,2036918,52,2,utRho09
mazE,5822736,5822736,5822678,58,6,utRho09
mazG,5821720,5821720,5821370,350,2708,utRho09
mcbA,1684306,1684306,1684112,194,0,utRho09
mcbR,3040192,3040524,3040192,332,0,utRho09
mcrA,2420278,2420692,2420278,414,28,utRho09
mcrC,9156124,9156124,9155916,208,62,utRho09
mdaB,6344814,6345060,6344814,246,0,utRho09
mdfA,1767138,1767346,1767138,208,0,utRho09
mdh,6768940,6768940,6768536,404,180,utRho09
mdoB,9198988,9198988,9198882,106,746,utRho09
mdoD,2993290,2993712,2993290,422,4,utRho09
mdoG,2218514,2218670,2218514,156,112,utRho09
mdtA,4307958,4308032,4307958,74,0,utRho09
mdtE,7318168,7318464,7318168,296,22,utRho09
mdtK,3486538,3486914,3486538,376,140,utRho09
mdtP,8602472,8602472,8602060,412,42,utRho09
melA,8683774,8683822,8683774,48,0,utRho09
melR,8683300,8683300,8683256,44,8,utRho09
menA,8240812,8240812,8240698,114,0,utRho09
menB,4753774,4753774,4753638,136,400,utRho09
mepH,3468714,3468870,3468714,156,4,utRho09
mepM,3883666,3883666,3883270,396,486,utRho09
mepS,4539840,4539958,4539840,118,202,utRho09
metA,8428318,8428560,8428318,242,0,utRho09
metB,8257272,8257344,8257272,72,916,utRho09
metC,6304150,6304472,6304150,322,84,utRho09
metE,8025768,8026106,8025768,338,176,utRho09
metF,8265092,8265232,8265092,140,0,utRho09
metG,4388538,4388600,4388538,62,148,utRho09
metH,8447010,8447656,8447010,646,2096,utRho09
metJ,8257116,8257116,8256790,326,38,utRho09
metK,6173154,6173412,6173154,258,188,utRho09
metN,445428,445428,445290,138,40,utRho09
metR,8025710,8025710,8025632,78,0,utRho09
metT,1394326,1394326,1394266,60,226,utRho09
metY,19910250,19910250,19909734,516,1494,utRho09
metZ,11789528,11789548,11789528,20,12,utRho09
mfd,2348056,2348056,2347928,128,108,utRho09
mglA,4478782,4478782,4478578,204,70,utRho09
mglB,4481132,4481132,4480696,436,11164,utRho09
mglC,4475918,4475918,4475506,412,144,utRho09
mgrB,3817584,3817584,3817532,52,0,utRho09
mgrR,3245828,3245828,3245828,0,0,utRho09
mgsA,2054082,2054082,2054030,52,98,utRho09
mgtL,8934560,8934862,8934560,302,74,utRho09
mhpA,737038,737222,737038,184,0,utRho09
mhpR,737072,737072,736840,232,0,utRho09
mhpT,750772,750918,750772,146,0,utRho09
miaA,8797964,8798504,8797964,540,442,utRho09
micA,5629604,5629604,5629604,0,0,utRho09
micC,2874242,2874238,2874242,4,0,utRho09
micF,4626168,4626168,4626168,0,0,utRho09
micM,1014408,1014408,1014408,0,0,utRho09
minE,2449422,2449422,2449090,332,1924,utRho09
mioC,7852950,7852950,7852910,40,0,utRho09
mipA,3733012,3733012,3732944,68,3716,utRho09
mlaA,4930270,4930270,4930014,256,2,utRho09
mlc,3337206,3337206,3337128,78,2,utRho09
mlrA,4429498,4429732,4429498,234,2,utRho09
mltA,5894546,5894546,5894356,190,6,utRho09
mltD,468050,468050,467910,140,60,utRho09
mltF,5391534,5391602,5391534,68,0,utRho09
mmuP,550238,550650,550238,412,58,utRho09
mngA,1531622,1531968,1531622,346,68,utRho09
mngR,1531852,1531852,1531750,102,0,utRho09
mnmG,7851348,7851348,7851266,82,2576,utRho09
mntH,5025470,5025470,5025412,58,0,utRho09
mntP,3810918,3811376,3810918,458,322,utRho09
mntR,1706160,1706366,1706160,206,0,utRho09
mntS,1706128,1706128,1705994,134,38,utRho09
moaA,1633654,1634088,1633654,434,408,utRho09
moaB,1635954,1636110,1635954,156,1110,utRho09
mobA,8084242,8084242,8083998,244,30,utRho09
mocA,6030112,6030320,6030112,208,20,utRho09
modA,1589990,1590178,1589990,188,0,utRho09
moeA,1732788,1732788,1732728,60,168,utRho09
mokB,2984610,2984610,2984258,352,224,utRho09
molR_1,4392888,4392948,4392888,60,22,utRho09
